"modelID","varName","value","temperature","climate","indoorUnittype","info"
"100","EN14825_049","1","5","3","0","2"
"100","EN14825_014","3.9","4","3","0","2"
"100","EN14825_014","4.1","5","3","0","2"
"100","EN14825_015","8.52","4","3","0","2"
"100","EN14825_015","6.22","5","3","0","2"
"100","EN14825_050","1","4","3","0","2"
"100","EN14825_050","1","5","3","0","2"
"100","EN14825_016","7.5","4","3","0","2"
"100","EN14825_016","7.5","5","3","0","2"
"100","EN14825_017","2.66","4","3","0","2"
"100","EN14825_017","1.9","5","3","0","2"
"100","EN14825_018","6.9","4","3","0","2"
"100","EN14825_018","7.1","5","3","0","2"
"100","EN14825_019","2.41","4","3","0","2"
"100","EN14825_019","1.64","5","3","0","2"
"100","EN14825_021","1","4","3","0","2"
"100","EN14825_021","1","5","3","0","2"
"100","EN14825_030","5.4","6","4","0","2"
"100","EN14825_031","5.71","6","4","0","2"
"100","EN14825_032","5.44","6","4","0","2"
"100","EN14825_033","3.14","6","4","0","2"
"100","EN14825_034","4.02","6","4","0","2"
"100","EN14825_035","4.84","6","4","0","2"
"100","EN14825_053","1","6","4","0","2"
"100","EN14825_036","2.47","6","4","0","2"
"100","EN14825_037","6.86","6","4","0","2"
"100","EN14825_054","1","6","4","0","2"
"100","EN14825_038","2.54","6","4","0","2"
"100","EN14825_039","8.47","6","4","0","2"
"100","EN14825_055","1","6","4","0","2"
"100","EN14825_022","35","4","3","0","2"
"100","EN14825_022","55","5","3","0","2"
"100","EN14825_023","10","4","3","0","2"
"100","EN14825_023","10","5","3","0","2"
"100","EN14825_023","10","6","4","0","2"
"100","EN14825_024","10","4","3","0","2"
"100","EN14825_024","10","5","3","0","2"
"100","EN14825_024","10","6","4","0","2"
"100","EN14825_025","10","4","3","0","2"
"100","EN14825_025","10","5","3","0","2"
"100","EN14825_025","10","6","4","0","2"
"100","EN14825_026","0","4","3","0","2"
"100","EN14825_026","0","5","3","0","2"
"100","EN14825_026","0","6","4","0","2"
"100","EN14825_027","1","4","3","0","2"
"100","EN14825_027","1","5","3","0","2"
"100","EN14825_028","1.1","4","3","0","2"
"100","EN14825_028","0.9","5","3","0","2"
"100","EN14825_029","3625","4","3","0","2"
"100","EN14825_029","4975","5","3","0","2"
"100","EN14825_041","571","6","4","0","2"
"100","EN16147_001","XL","0","3","0","2"
"100","EN16147_002","133","0","3","0","2"
"100","EN16147_003","3.3","0","3","0","2"
"100","EN16147_004","1:47","0","3","0","2"
"100","EN16147_005","28","0","3","0","2"
"100","EN16147_006","52.5","0","3","0","2"
"100","EN16147_007","288","0","3","0","2"
"600","title","ERGA08EV / EHVH08S23E(6V/9W) + cooling kit","0","0","0","1"
"600","application","4","0","0","0","1"
"600","indoor","1","0","0","0","1"
"600","outdoor","1","0","0","0","1"
"600","coolingMode7c12c","1","0","0","0","1"
"600","coolingMode18c23c","0","0","0","0","1"
"600","colderClimate","0","0","0","0","1"
"600","warmerClimate","0","0","0","0","1"
"600","reversibility","1","0","0","0","1"
"600","colderForHeating","0","0","0","0","1"
"600","warmerForHeating","0","0","0","0","1"
"600","en145112Certification","0","0","0","0","1"
"600","heatSource","0","0","0","0","1"
"600","additionalOutdoorAir","0","0","0","0","1"
"600","additionalExhaustAir","0","0","0","0","1"
"600","additionalIndoorAir","0","0","0","0","1"
"600","additionalNonheatedSpaceAir","0","0","0","0","1"
"600","powerSupply","1","0","0","0","1"
"600","offPeakProduct","0","0","0","0","1"
"600","EN14511_4_001","2","0","10","0","2"
"600","EN14511_4_002","2","0","10","0","2"
"600","EN14511_2_001","7.5","4","10","0","2"
"600","EN14511_2_001","7.5","5","10","0","2"
"600","EN14511_2_002","1.73","6","4","0","2"
"600","EN14511_2_002","1.63","4","10","0","2"
"600","EN14511_2_002","2.78","5","10","0","2"
"600","EN14511_2_003","4.6","4","10","0","2"
"600","EN14511_2_003","2.7","5","10","0","2"
"600","EN14511_2_005","5.44","6","4","0","2"
"600","EN14511_2_007","3.14","6","4","0","2"
"600","EN14511_4_003","2","0","10","0","2"
"600","EN14511_4_004","2","0","10","0","2"
"600","EN14511_4_005","2","0","10","0","2"
"600","EN14511_4_006","2","0","10","0","2"
"600","EN12102_1_001","42","4","3","0","2"
"600","EN12102_1_001","42","5","3","0","2"
"600","EN12102_1_002","62","4","3","0","2"
"600","EN12102_1_002","62","5","3","0","2"
"600","EN14825_001","179","4","3","0","2"
"600","EN14825_001","130","5","3","0","2"
"600","EN14825_002","8","4","3","0","2"
"600","EN14825_002","8","5","3","0","2"
"600","EN14825_003","4.56","4","3","0","2"
"600","EN14825_003","3.32","5","3","0","2"
"600","EN14825_004","-8","4","3","0","2"
"600","EN14825_004","-8","5","3","0","2"
"600","EN14825_005","-10","4","3","0","2"
"600","EN14825_005","-10","5","3","0","2"
"600","EN14825_008","7","4","3","0","2"
"600","EN14825_008","6.9","5","3","0","2"
"600","EN14825_009","2.77","4","3","0","2"
"600","EN14825_009","1.96","5","3","0","2"
"600","EN14825_047","1","5","3","0","2"
"600","EN14825_010","4.2","4","3","0","2"
"600","EN14825_010","4.4","5","3","0","2"
"600","EN14825_011","4.35","4","3","0","2"
"600","EN14825_011","3.2","5","3","0","2"
"600","EN14825_048","1","4","3","0","2"
"600","EN14825_048","1","5","3","0","2"
"600","EN14825_012","3.3","4","3","0","2"
"600","EN14825_012","3.3","5","3","0","2"
"600","EN14825_013","6.49","4","3","0","2"
"600","EN14825_013","4.64","5","3","0","2"
"600","EN14825_049","1","4","3","0","2"
"600","EN14825_049","1","5","3","0","2"
"600","EN14825_014","3.9","4","3","0","2"
"600","EN14825_014","4.1","5","3","0","2"
"600","EN14825_015","8.52","4","3","0","2"
"600","EN14825_015","6.22","5","3","0","2"
"600","EN14825_050","1","4","3","0","2"
"600","EN14825_050","1","5","3","0","2"
"600","EN14825_016","7.5","4","3","0","2"
"600","EN14825_016","7.5","5","3","0","2"
"600","EN14825_017","2.66","4","3","0","2"
"600","EN14825_017","1.9","5","3","0","2"
"600","EN14825_018","6.9","4","3","0","2"
"600","EN14825_018","7.1","5","3","0","2"
"600","EN14825_019","2.41","4","3","0","2"
"600","EN14825_019","1.64","5","3","0","2"
"600","EN14825_021","1","4","3","0","2"
"600","EN14825_021","1","5","3","0","2"
"600","EN14825_030","5.4","6","4","0","2"
"600","EN14825_031","5.71","6","4","0","2"
"600","EN14825_032","5.44","6","4","0","2"
"600","EN14825_033","3.14","6","4","0","2"
"600","EN14825_034","4.02","6","4","0","2"
"600","EN14825_035","4.84","6","4","0","2"
"600","EN14825_053","1","6","4","0","2"
"600","EN14825_036","2.47","6","4","0","2"
"600","EN14825_037","6.86","6","4","0","2"
"600","EN14825_054","1","6","4","0","2"
"600","EN14825_038","2.54","6","4","0","2"
"600","EN14825_039","8.47","6","4","0","2"
"600","EN14825_055","1","6","4","0","2"
"600","EN14825_022","35","4","3","0","2"
"600","EN14825_022","55","5","3","0","2"
"600","EN14825_023","10","4","3","0","2"
"600","EN14825_023","10","5","3","0","2"
"600","EN14825_023","10","6","4","0","2"
"600","EN14825_024","10","4","3","0","2"
"600","EN14825_024","10","5","3","0","2"
"600","EN14825_024","10","6","4","0","2"
"600","EN14825_025","10","4","3","0","2"
"600","EN14825_025","10","5","3","0","2"
"600","EN14825_025","10","6","4","0","2"
"600","EN14825_026","0","4","3","0","2"
"600","EN14825_026","0","5","3","0","2"
"600","EN14825_026","0","6","4","0","2"
"600","EN14825_027","1","4","3","0","2"
"600","EN14825_027","1","5","3","0","2"
"600","EN14825_028","1.1","4","3","0","2"
"600","EN14825_028","0.9","5","3","0","2"
"600","EN14825_029","3625","4","3","0","2"
"600","EN14825_029","4975","5","3","0","2"
"600","EN14825_041","571","6","4","0","2"
"600","EN16147_001","XL","0","3","0","2"
"600","EN16147_002","133","0","3","0","2"
"600","EN16147_003","3.3","0","3","0","2"
"600","EN16147_004","1:47","0","3","0","2"
"600","EN16147_005","28","0","3","0","2"
"600","EN16147_006","52.5","0","3","0","2"
"600","EN16147_007","288","0","3","0","2"
"500","title","ERGA08EV / EHVH08SU23E6V","0","0","0","1"
"500","application","4","0","0","0","1"
"500","indoor","1","0","0","0","1"
"500","outdoor","1","0","0","0","1"
"500","coolingMode7c12c","0","0","0","0","1"
"500","coolingMode18c23c","0","0","0","0","1"
"500","colderClimate","0","0","0","0","1"
"500","warmerClimate","0","0","0","0","1"
"500","reversibility","0","0","0","0","1"
"500","colderForHeating","0","0","0","0","1"
"500","warmerForHeating","0","0","0","0","1"
"500","en145112Certification","0","0","0","0","1"
"500","heatSource","0","0","0","0","1"
"500","additionalOutdoorAir","0","0","0","0","1"
"500","additionalExhaustAir","0","0","0","0","1"
"500","additionalIndoorAir","0","0","0","0","1"
"500","additionalNonheatedSpaceAir","0","0","0","0","1"
"500","powerSupply","1","0","0","0","1"
"500","offPeakProduct","0","0","0","0","1"
"500","EN14511_4_001","2","0","10","0","2"
"500","EN14511_4_002","2","0","10","0","2"
"500","EN14511_2_001","7.5","4","10","0","2"
"500","EN14511_2_001","7.5","5","10","0","2"
"500","EN14511_2_002","1.73","6","4","0","2"
"500","EN14511_2_002","1.63","4","10","0","2"
"500","EN14511_2_002","2.78","5","10","0","2"
"500","EN14511_2_003","4.6","4","10","0","2"
"500","EN14511_2_003","2.7","5","10","0","2"
"500","EN14511_2_005","5.44","6","4","0","2"
"500","EN14511_2_007","3.14","6","4","0","2"
"500","EN14511_4_003","2","0","10","0","2"
"500","EN14511_4_004","2","0","10","0","2"
"500","EN14511_4_005","2","0","10","0","2"
"500","EN14511_4_006","2","0","10","0","2"
"500","EN12102_1_001","42","4","3","0","2"
"500","EN12102_1_001","42","5","3","0","2"
"500","EN12102_1_002","62","4","3","0","2"
"500","EN12102_1_002","62","5","3","0","2"
"500","EN14825_001","179","4","3","0","2"
"500","EN14825_001","130","5","3","0","2"
"500","EN14825_002","8","4","3","0","2"
"500","EN14825_002","8","5","3","0","2"
"500","EN14825_003","4.56","4","3","0","2"
"500","EN14825_003","3.32","5","3","0","2"
"500","EN14825_004","-8","4","3","0","2"
"500","EN14825_004","-8","5","3","0","2"
"500","EN14825_005","-10","4","3","0","2"
"500","EN14825_005","-10","5","3","0","2"
"500","EN14825_008","7","4","3","0","2"
"500","EN14825_008","6.9","5","3","0","2"
"500","EN14825_009","2.77","4","3","0","2"
"500","EN14825_009","1.96","5","3","0","2"
"500","EN14825_047","1","5","3","0","2"
"500","EN14825_010","4.2","4","3","0","2"
"500","EN14825_010","4.4","5","3","0","2"
"500","EN14825_011","4.35","4","3","0","2"
"500","EN14825_011","3.2","5","3","0","2"
"500","EN14825_048","1","4","3","0","2"
"500","EN14825_048","1","5","3","0","2"
"500","EN14825_012","3.3","4","3","0","2"
"500","EN14825_012","3.3","5","3","0","2"
"500","EN14825_013","6.49","4","3","0","2"
"500","EN14825_013","4.64","5","3","0","2"
"500","EN14825_049","1","4","3","0","2"
"500","EN14825_049","1","5","3","0","2"
"500","EN14825_014","3.9","4","3","0","2"
"500","EN14825_014","4.1","5","3","0","2"
"500","EN14825_015","8.52","4","3","0","2"
"500","EN14825_015","6.22","5","3","0","2"
"500","EN14825_050","1","4","3","0","2"
"500","EN14825_050","1","5","3","0","2"
"500","EN14825_016","7.5","4","3","0","2"
"500","EN14825_016","7.5","5","3","0","2"
"500","EN14825_017","2.66","4","3","0","2"
"500","EN14825_017","1.9","5","3","0","2"
"500","EN14825_018","6.9","4","3","0","2"
"500","EN14825_018","7.1","5","3","0","2"
"500","EN14825_019","2.41","4","3","0","2"
"500","EN14825_019","1.64","5","3","0","2"
"500","EN14825_021","1","4","3","0","2"
"500","EN14825_021","1","5","3","0","2"
"500","EN14825_030","5.4","6","4","0","2"
"500","EN14825_031","5.71","6","4","0","2"
"500","EN14825_032","5.44","6","4","0","2"
"500","EN14825_033","3.14","6","4","0","2"
"500","EN14825_034","4.02","6","4","0","2"
"500","EN14825_035","4.84","6","4","0","2"
"500","EN14825_053","1","6","4","0","2"
"500","EN14825_036","2.47","6","4","0","2"
"500","EN14825_037","6.86","6","4","0","2"
"500","EN14825_054","1","6","4","0","2"
"500","EN14825_038","2.54","6","4","0","2"
"500","EN14825_039","8.47","6","4","0","2"
"500","EN14825_055","1","6","4","0","2"
"500","EN14825_022","35","4","3","0","2"
"500","EN14825_022","55","5","3","0","2"
"500","EN14825_023","10","4","3","0","2"
"500","EN14825_023","10","5","3","0","2"
"500","EN14825_023","10","6","4","0","2"
"500","EN14825_024","10","4","3","0","2"
"500","EN14825_024","10","5","3","0","2"
"500","EN14825_024","10","6","4","0","2"
"500","EN14825_025","10","4","3","0","2"
"500","EN14825_025","10","5","3","0","2"
"500","EN14825_025","10","6","4","0","2"
"500","EN14825_026","0","4","3","0","2"
"500","EN14825_026","0","5","3","0","2"
"500","EN14825_026","0","6","4","0","2"
"500","EN14825_027","1","4","3","0","2"
"500","EN14825_027","1","5","3","0","2"
"500","EN14825_028","1.1","4","3","0","2"
"500","EN14825_028","0.9","5","3","0","2"
"500","EN14825_029","3625","4","3","0","2"
"500","EN14825_029","4975","5","3","0","2"
"500","EN14825_041","571","6","4","0","2"
"500","EN16147_001","XL","0","3","0","2"
"500","EN16147_002","133","0","3","0","2"
"500","EN16147_003","3.3","0","3","0","2"
"500","EN16147_004","1:47","0","3","0","2"
"500","EN16147_005","28","0","3","0","2"
"500","EN16147_006","52.5","0","3","0","2"
"500","EN16147_007","288","0","3","0","2"
"200","title","ERGA08EV / EHVX08S23E6V(G)","0","0","0","1"
"200","application","4","0","0","0","1"
"200","indoor","1","0","0","0","1"
"200","outdoor","1","0","0","0","1"
"200","coolingMode7c12c","1","0","0","0","1"
"200","coolingMode18c23c","0","0","0","0","1"
"200","colderClimate","0","0","0","0","1"
"200","warmerClimate","0","0","0","0","1"
"200","reversibility","1","0","0","0","1"
"200","colderForHeating","0","0","0","0","1"
"200","warmerForHeating","0","0","0","0","1"
"200","en145112Certification","0","0","0","0","1"
"200","heatSource","0","0","0","0","1"
"200","additionalOutdoorAir","0","0","0","0","1"
"200","additionalExhaustAir","0","0","0","0","1"
"200","additionalIndoorAir","0","0","0","0","1"
"200","additionalNonheatedSpaceAir","0","0","0","0","1"
"200","powerSupply","1","0","0","0","1"
"200","offPeakProduct","0","0","0","0","1"
"200","EN14511_4_001","2","0","10","0","2"
"200","EN14511_4_002","2","0","10","0","2"
"200","EN14511_2_001","7.5","4","10","0","2"
"200","EN14511_2_001","7.5","5","10","0","2"
"200","EN14511_2_002","1.73","6","4","0","2"
"200","EN14511_2_002","1.63","4","10","0","2"
"200","EN14511_2_002","2.78","5","10","0","2"
"200","EN14511_2_003","4.6","4","10","0","2"
"200","EN14511_2_003","2.7","5","10","0","2"
"200","EN14511_2_005","5.44","6","4","0","2"
"200","EN14511_2_007","3.14","6","4","0","2"
"200","EN14511_4_003","2","0","10","0","2"
"200","EN14511_4_004","2","0","10","0","2"
"200","EN14511_4_005","2","0","10","0","2"
"200","EN14511_4_006","2","0","10","0","2"
"200","EN12102_1_001","42","4","3","0","2"
"200","EN12102_1_001","42","5","3","0","2"
"200","EN12102_1_002","62","4","3","0","2"
"200","EN12102_1_002","62","5","3","0","2"
"200","EN14825_001","181","4","3","0","2"
"200","EN14825_001","131","5","3","0","2"
"200","EN14825_002","8","4","3","0","2"
"200","EN14825_002","8","5","3","0","2"
"200","EN14825_003","4.61","4","3","0","2"
"200","EN14825_003","3.35","5","3","0","2"
"200","EN14825_004","-8","4","3","0","2"
"200","EN14825_004","-8","5","3","0","2"
"200","EN14825_005","-10","4","3","0","2"
"200","EN14825_005","-10","5","3","0","2"
"200","EN14825_008","7","4","3","0","2"
"200","EN14825_008","6.9","5","3","0","2"
"200","EN14825_009","2.77","4","3","0","2"
"200","EN14825_009","1.96","5","3","0","2"
"200","EN14825_047","1","5","3","0","2"
"200","EN14825_010","4.2","4","3","0","2"
"200","EN14825_010","4.4","5","3","0","2"
"200","EN14825_011","4.35","4","3","0","2"
"200","EN14825_011","3.2","5","3","0","2"
"200","EN14825_048","1","4","3","0","2"
"200","EN14825_048","1","5","3","0","2"
"200","EN14825_012","3.3","4","3","0","2"
"200","EN14825_012","3.3","5","3","0","2"
"200","EN14825_013","6.49","4","3","0","2"
"200","EN14825_013","4.64","5","3","0","2"
"200","EN14825_049","1","4","3","0","2"
"200","EN14825_049","1","5","3","0","2"
"200","EN14825_014","3.9","4","3","0","2"
"200","EN14825_014","4.1","5","3","0","2"
"200","EN14825_015","8.52","4","3","0","2"
"200","EN14825_015","6.22","5","3","0","2"
"200","EN14825_050","1","4","3","0","2"
"200","EN14825_050","1","5","3","0","2"
"200","EN14825_016","7.5","4","3","0","2"
"200","EN14825_016","7.5","5","3","0","2"
"200","EN14825_017","2.66","4","3","0","2"
"200","EN14825_017","1.9","5","3","0","2"
"200","EN14825_018","6.9","4","3","0","2"
"200","EN14825_018","7.1","5","3","0","2"
"200","EN14825_019","2.41","4","3","0","2"
"200","EN14825_019","1.64","5","3","0","2"
"200","EN14825_021","1","4","3","0","2"
"200","EN14825_021","1","5","3","0","2"
"200","EN14825_030","5.4","6","4","0","2"
"200","EN14825_031","5.71","6","4","0","2"
"200","EN14825_032","5.44","6","4","0","2"
"200","EN14825_033","3.14","6","4","0","2"
"200","EN14825_034","4.02","6","4","0","2"
"200","EN14825_035","4.84","6","4","0","2"
"200","EN14825_053","1","6","4","0","2"
"200","EN14825_036","2.47","6","4","0","2"
"200","EN14825_037","6.86","6","4","0","2"
"200","EN14825_054","1","6","4","0","2"
"200","EN14825_038","2.54","6","4","0","2"
"200","EN14825_039","8.47","6","4","0","2"
"200","EN14825_055","1","6","4","0","2"
"200","EN14825_022","35","4","3","0","2"
"200","EN14825_022","55","5","3","0","2"
"200","EN14825_023","10","4","3","0","2"
"200","EN14825_023","10","5","3","0","2"
"200","EN14825_023","10","6","4","0","2"
"200","EN14825_024","10","4","3","0","2"
"200","EN14825_024","10","5","3","0","2"
"200","EN14825_024","10","6","4","0","2"
"200","EN14825_025","10","4","3","0","2"
"200","EN14825_025","10","5","3","0","2"
"200","EN14825_025","10","6","4","0","2"
"200","EN14825_026","0","4","3","0","2"
"200","EN14825_026","0","5","3","0","2"
"200","EN14825_026","0","6","4","0","2"
"200","EN14825_027","1","4","3","0","2"
"200","EN14825_027","1","5","3","0","2"
"200","EN14825_028","1.1","4","3","0","2"
"200","EN14825_028","0.9","5","3","0","2"
"200","EN14825_029","3588","4","3","0","2"
"200","EN14825_029","4939","5","3","0","2"
"200","EN14825_041","571","6","4","0","2"
"200","EN16147_001","XL","0","3","0","2"
"200","EN16147_002","133","0","3","0","2"
"200","EN16147_003","3.3","0","3","0","2"
"200","EN16147_004","1:47","0","3","0","2"
"200","EN16147_005","28","0","3","0","2"
"200","EN16147_006","52.5","0","3","0","2"
"200","EN16147_007","288","0","3","0","2"
"300","title","ERGA08EV / EHVX08S23E9W","0","0","0","1"
"300","application","4","0","0","0","1"
"300","indoor","1","0","0","0","1"
"300","outdoor","1","0","0","0","1"
"300","coolingMode7c12c","1","0","0","0","1"
"300","coolingMode18c23c","0","0","0","0","1"
"300","colderClimate","0","0","0","0","1"
"300","warmerClimate","0","0","0","0","1"
"300","reversibility","1","0","0","0","1"
"300","colderForHeating","0","0","0","0","1"
"300","warmerForHeating","0","0","0","0","1"
"300","en145112Certification","0","0","0","0","1"
"300","heatSource","0","0","0","0","1"
"300","additionalOutdoorAir","0","0","0","0","1"
"300","additionalExhaustAir","0","0","0","0","1"
"300","additionalIndoorAir","0","0","0","0","1"
"300","additionalNonheatedSpaceAir","0","0","0","0","1"
"300","powerSupply","1","0","0","0","1"
"300","offPeakProduct","0","0","0","0","1"
"300","EN14511_4_001","2","0","10","0","2"
"300","EN14511_4_002","2","0","10","0","2"
"300","EN14511_2_001","7.5","4","10","0","2"
"300","EN14511_2_001","7.5","5","10","0","2"
"300","EN14511_2_002","1.73","6","4","0","2"
"300","EN14511_2_002","1.63","4","10","0","2"
"300","EN14511_2_002","2.78","5","10","0","2"
"300","EN14511_2_003","4.6","4","10","0","2"
"300","EN14511_2_003","2.7","5","10","0","2"
"300","EN14511_2_005","5.44","6","4","0","2"
"300","EN14511_2_007","3.14","6","4","0","2"
"300","EN14511_4_003","2","0","10","0","2"
"300","EN14511_4_004","2","0","10","0","2"
"300","EN14511_4_005","2","0","10","0","2"
"300","EN14511_4_006","2","0","10","0","2"
"300","EN12102_1_001","42","4","3","0","2"
"300","EN12102_1_001","42","5","3","0","2"
"300","EN12102_1_002","62","4","3","0","2"
"300","EN12102_1_002","62","5","3","0","2"
"300","EN14825_001","181","4","3","0","2"
"300","EN14825_001","131","5","3","0","2"
"300","EN14825_002","8","4","3","0","2"
"300","EN14825_002","8","5","3","0","2"
"300","EN14825_003","4.61","4","3","0","2"
"300","EN14825_003","3.35","5","3","0","2"
"300","EN14825_004","-8","4","3","0","2"
"300","EN14825_004","-8","5","3","0","2"
"300","EN14825_005","-10","4","3","0","2"
"300","EN14825_005","-10","5","3","0","2"
"300","EN14825_008","7","4","3","0","2"
"300","EN14825_008","6.9","5","3","0","2"
"300","EN14825_009","2.77","4","3","0","2"
"300","EN14825_009","1.96","5","3","0","2"
"300","EN14825_047","1","5","3","0","2"
"300","EN14825_010","4.2","4","3","0","2"
"300","EN14825_010","4.4","5","3","0","2"
"300","EN14825_011","4.35","4","3","0","2"
"300","EN14825_011","3.2","5","3","0","2"
"300","EN14825_048","1","4","3","0","2"
"300","EN14825_048","1","5","3","0","2"
"300","EN14825_012","3.3","4","3","0","2"
"300","EN14825_012","3.3","5","3","0","2"
"300","EN14825_013","6.49","4","3","0","2"
"300","EN14825_013","4.64","5","3","0","2"
"300","EN14825_049","1","4","3","0","2"
"300","EN14825_049","1","5","3","0","2"
"300","EN14825_014","3.9","4","3","0","2"
"300","EN14825_014","4.1","5","3","0","2"
"300","EN14825_015","8.52","4","3","0","2"
"300","EN14825_015","6.22","5","3","0","2"
"300","EN14825_050","1","4","3","0","2"
"300","EN14825_050","1","5","3","0","2"
"300","EN14825_016","7.5","4","3","0","2"
"300","EN14825_016","7.5","5","3","0","2"
"300","EN14825_017","2.66","4","3","0","2"
"300","EN14825_017","1.9","5","3","0","2"
"300","EN14825_018","6.9","4","3","0","2"
"300","EN14825_018","7.1","5","3","0","2"
"300","EN14825_019","2.41","4","3","0","2"
"300","EN14825_019","1.64","5","3","0","2"
"300","EN14825_021","1","4","3","0","2"
"300","EN14825_021","1","5","3","0","2"
"300","EN14825_030","5.4","6","4","0","2"
"300","EN14825_031","5.71","6","4","0","2"
"300","EN14825_032","5.44","6","4","0","2"
"300","EN14825_033","3.14","6","4","0","2"
"300","EN14825_034","4.02","6","4","0","2"
"300","EN14825_035","4.84","6","4","0","2"
"300","EN14825_053","1","6","4","0","2"
"300","EN14825_036","2.47","6","4","0","2"
"300","EN14825_037","6.86","6","4","0","2"
"300","EN14825_054","1","6","4","0","2"
"300","EN14825_038","2.54","6","4","0","2"
"300","EN14825_039","8.47","6","4","0","2"
"300","EN14825_055","1","6","4","0","2"
"300","EN14825_022","35","4","3","0","2"
"300","EN14825_022","55","5","3","0","2"
"300","EN14825_023","10","4","3","0","2"
"300","EN14825_023","10","5","3","0","2"
"300","EN14825_023","10","6","4","0","2"
"300","EN14825_024","10","4","3","0","2"
"300","EN14825_024","10","5","3","0","2"
"300","EN14825_024","10","6","4","0","2"
"300","EN14825_025","10","4","3","0","2"
"300","EN14825_025","10","5","3","0","2"
"300","EN14825_025","10","6","4","0","2"
"300","EN14825_026","0","4","3","0","2"
"300","EN14825_026","0","5","3","0","2"
"300","EN14825_026","0","6","4","0","2"
"300","EN14825_027","1","4","3","0","2"
"300","EN14825_027","1","5","3","0","2"
"300","EN14825_028","1.1","4","3","0","2"
"300","EN14825_028","0.9","5","3","0","2"
"300","EN14825_029","3588","4","3","0","2"
"300","EN14825_029","4939","5","3","0","2"
"300","EN14825_041","571","6","4","0","2"
"300","EN16147_001","XL","0","3","0","2"
"300","EN16147_002","133","0","3","0","2"
"300","EN16147_003","3.3","0","3","0","2"
"300","EN16147_004","1:47","0","3","0","2"
"300","EN16147_005","28","0","3","0","2"
"300","EN16147_006","52.5","0","3","0","2"
"300","EN16147_007","288","0","3","0","2"
"400","title","ERGA08EV / EHVZ08S23E(6V/9W)","0","0","0","1"
"400","application","4","0","0","0","1"
"400","indoor","1","0","0","0","1"
"400","outdoor","1","0","0","0","1"
"400","coolingMode7c12c","0","0","0","0","1"
"400","coolingMode18c23c","0","0","0","0","1"
"400","colderClimate","0","0","0","0","1"
"400","warmerClimate","0","0","0","0","1"
"400","reversibility","0","0","0","0","1"
"400","colderForHeating","0","0","0","0","1"
"400","warmerForHeating","0","0","0","0","1"
"400","en145112Certification","0","0","0","0","1"
"400","heatSource","0","0","0","0","1"
