"modelID","varName","value","temperature","climate","indoorUnittype","info"
"","EN14825_010","3.10","4","3","0","2"
"","EN14825_010","3.00","5","3","0","2"
"","EN14825_011","4.46","4","3","0","2"
"","EN14825_011","2.90","5","3","0","2"
"","EN14825_048","0.90","4","3","0","2"
"","EN14825_048","0.90","5","3","0","2"
"","EN14825_012","2.40","4","3","0","2"
"","EN14825_012","2.60","5","3","0","2"
"","EN14825_013","5.65","4","3","0","2"
"","EN14825_013","4.05","5","3","0","2"
"","EN14825_049","0.90","4","3","0","2"
"","EN14825_049","0.90","5","3","0","2"
"","EN14825_014","2.70","4","3","0","2"
"","EN14825_014","3.20","5","3","0","2"
"","EN14825_015","7.81","4","3","0","2"
"","EN14825_015","5.90","5","3","0","2"
"","EN14825_050","0.90","4","3","0","2"
"","EN14825_050","0.90","5","3","0","2"
"","EN14825_016","5.10","4","3","0","2"
"","EN14825_016","4.90","5","3","0","2"
"","EN14825_017","2.90","4","3","0","2"
"","EN14825_017","1.95","5","3","0","2"
"","EN14825_018","5.80","4","3","0","2"
"","EN14825_018","5.00","5","3","0","2"
"","EN14825_019","2.45","4","3","0","2"
"","EN14825_019","1.55","5","3","0","2"
"","EN14825_022","65","4","3","0","2"
"","EN14825_022","65","5","3","0","2"
"","EN14825_023","30","4","3","0","2"
"","EN14825_023","30","5","3","0","2"
"","EN14825_024","30","4","3","0","2"
"","EN14825_024","30","5","3","0","2"
"","EN14825_025","30","4","3","0","2"
"","EN14825_025","30","5","3","0","2"
"","EN14825_026","20","4","3","0","2"
"","EN14825_026","20","5","3","0","2"
"","EN14825_027","1","4","3","0","2"
"","EN14825_027","1","5","3","0","2"
"","EN14825_028","0.20","4","3","0","2"
"","EN14825_028","1.00","5","3","0","2"
"","EN14825_029","2658","4","3","0","2"
"","EN14825_029","3827","5","3","0","2"
"","EN16147_001","L","0","3","0","2"
"","EN16147_002","125","0","3","0","2"
"","EN16147_003","2.88","0","3","0","2"
"","EN16147_004","2:02","0","3","0","2"
"","EN16147_005","56.3","0","3","0","2"
"","EN16147_006","47.2","0","3","0","2"
"","EN16147_007","182","0","3","0","2"
"","title","HU091MR U44 / HN0916T NB1","0","0","0","1"
"","application","4","0","0","0","1"
"","indoor","1","0","0","0","1"
"","outdoor","1","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","0","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","1","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","1","0","0","0","1"
"","offPeakProduct","0","0","0","0","1"
"","EN14511_2_001","9.00","4","10","0","2"
"","EN14511_2_001","5.50","5","10","0","2"
"","EN14511_2_002","2.05","4","10","0","2"
"","EN14511_2_002","2.12","5","10","0","2"
"","EN14511_2_003","4.40","4","10","0","2"
"","EN14511_2_003","2.60","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN14511_4_006","2","0","10","0","2"
"","EN12102_1_001","43","4","3","0","2"
"","EN12102_1_001","43","5","3","0","2"
"","EN12102_1_002","61","4","3","0","2"
"","EN12102_1_002","61","5","3","0","2"
"","EN14825_001","175","4","3","0","2"
"","EN14825_001","118","5","3","0","2"
"","EN14825_002","6.00","4","3","0","2"
"","EN14825_002","6.00","5","3","0","2"
"","EN14825_003","4.45","4","3","0","2"
"","EN14825_003","3.03","5","3","0","2"
"","EN14825_004","-7","4","3","0","2"
"","EN14825_004","-7","5","3","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","5.60","4","3","0","2"
"","EN14825_008","5.00","5","3","0","2"
"","EN14825_009","2.75","4","3","0","2"
"","EN14825_009","1.95","5","3","0","2"
"","EN14825_047","0.90","4","3","0","2"
"","EN14825_047","0.90","5","3","0","2"
"","EN14825_010","3.40","4","3","0","2"
"","EN14825_010","3.00","5","3","0","2"
"","EN14825_011","4.50","4","3","0","2"
"","EN14825_011","2.90","5","3","0","2"
"","EN14825_048","0.90","4","3","0","2"
"","EN14825_048","0.90","5","3","0","2"
"","EN14825_012","2.60","4","3","0","2"
"","EN14825_012","2.60","5","3","0","2"
"","EN14825_013","5.75","4","3","0","2"
"","EN14825_013","4.20","5","3","0","2"
"","EN14825_049","0.90","4","3","0","2"
"","EN14825_049","0.90","5","3","0","2"
"","EN14825_014","2.80","4","3","0","2"
"","EN14825_014","3.20","5","3","0","2"
"","EN14825_015","7.53","4","3","0","2"
"","EN14825_015","6.10","5","3","0","2"
"","EN14825_050","0.90","4","3","0","2"
"","EN14825_050","0.90","5","3","0","2"
"","EN14825_016","5.60","4","3","0","2"
"","EN14825_016","5.00","5","3","0","2"
"","EN14825_017","2.75","4","3","0","2"
"","EN14825_017","1.95","5","3","0","2"
"","EN14825_018","6.00","4","3","0","2"
"","EN14825_018","5.00","5","3","0","2"
"","EN14825_019","2.45","4","3","0","2"
"","EN14825_019","1.55","5","3","0","2"
"","EN14825_022","65","4","3","0","2"
"","EN14825_022","65","5","3","0","2"
"","EN14825_023","30","4","3","0","2"
"","EN14825_023","30","5","3","0","2"
"","EN14825_024","30","4","3","0","2"
"","EN14825_024","30","5","3","0","2"
"","EN14825_025","30","4","3","0","2"
"","EN14825_025","30","5","3","0","2"
"","EN14825_026","20","4","3","0","2"
"","EN14825_026","20","5","3","0","2"
"","EN14825_027","N/A","4","3","0","2"
"","EN14825_027","1","5","3","0","2"
"","EN14825_028","0.00","4","3","0","2"
"","EN14825_028","1.00","5","3","0","2"
"","EN14825_029","2922","4","3","0","2"
"","EN14825_029","3817","5","3","0","2"
"","EN16147_001","L","0","3","0","2"
"","EN16147_002","125","0","3","0","2"
"","EN16147_003","2.88","0","3","0","2"
"","EN16147_004","2:02","0","3","0","2"
"","EN16147_005","56.3","0","3","0","2"
"","EN16147_006","47.2","0","3","0","2"
"","EN16147_007","182","0","3","0","2"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,500 kg","0","0","0","0"
"","Date","04.09.2020","0","0","0","0"
"","Manufacturer"," LG Electronics Inc.","0","0","0","0"
"","Modelname","R32 THERMA V IWT 5, 7, 9kW","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
