"modelID","varName","value","temperature","climate","indoorUnittype","info"
"2","additionalIndoorAir","0","0","0","0","1"
"2","additionalNonheatedSpaceAir","0","0","0","0","1"
"2","powerSupply","3","0","0","0","1"
"2","offPeakProduct","0","0","0","0","1"
"2","EN14511_4_001","2","0","10","0","2"
"2","EN14511_4_001","2","0","10","0","2"
"2","EN14511_4_002","2","0","10","0","2"
"2","EN14511_4_002","2","0","10","0","2"
"2","EN14511_2_001","20.00","4","10","0","2"
"2","EN14511_2_001","20.00","5","10","0","2"
"2","EN14511_2_002","4.65","4","10","0","2"
"2","EN14511_2_002","7.35","5","10","0","2"
"2","EN14511_2_003","4.30","4","10","0","2"
"2","EN14511_2_003","2.72","5","10","0","2"
"2","EN14511_4_003","2","0","10","0","2"
"2","EN14511_4_003","2","0","10","0","2"
"2","EN14511_4_004","2","0","10","0","2"
"2","EN14511_4_004","2","0","10","0","2"
"2","EN14511_4_005","2","0","10","0","2"
"2","EN14511_4_005","2","0","10","0","2"
"2","EN12102_1_001","47","4","3","0","2"
"2","EN12102_1_001","47","5","3","0","2"
"2","EN12102_1_002","73","4","3","0","2"
"2","EN12102_1_002","73","5","3","0","2"
"2","EN14825_001","152","4","3","0","2"
"2","EN14825_001","122","5","3","0","2"
"2","EN14825_002","18.00","4","3","0","2"
"2","EN14825_002","16.00","5","3","0","2"
"2","EN14825_003","3.88","4","3","0","2"
"2","EN14825_003","3.13","5","3","0","2"
"2","EN14825_004","-7","4","3","0","2"
"2","EN14825_004","-7","5","3","0","2"
"2","EN14825_005","-10","4","3","0","2"
"2","EN14825_005","-10","5","3","0","2"
"2","EN14825_008","15.60","4","3","0","2"
"2","EN14825_008","13.80","5","3","0","2"
"2","EN14825_009","2.50","4","3","0","2"
"2","EN14825_009","1.65","5","3","0","2"
"2","EN14825_010","9.50","4","3","0","2"
"2","EN14825_010","8.40","5","3","0","2"
"2","EN14825_011","3.85","4","3","0","2"
"2","EN14825_011","3.20","5","3","0","2"
"2","EN14825_012","6.10","4","3","0","2"
"2","EN14825_012","6.00","5","3","0","2"
"2","EN14825_013","5.40","4","3","0","2"
"2","EN14825_013","4.50","5","3","0","2"
"2","EN14825_014","7.00","4","3","0","2"
"2","EN14825_014","6.80","5","3","0","2"
"2","EN14825_015","4.65","4","3","0","2"
"2","EN14825_015","4.50","5","3","0","2"
"2","EN14825_016","15.60","4","3","0","2"
"2","EN14825_016","13.80","5","3","0","2"
"2","EN14825_017","2.50","4","3","0","2"
"2","EN14825_017","1.65","5","3","0","2"
"2","EN14825_018","16.00","4","3","0","2"
"2","EN14825_018","12.10","5","3","0","2"
"2","EN14825_019","2.40","4","3","0","2"
"2","EN14825_019","1.50","5","3","0","2"
"2","EN14825_021","0.90","4","3","0","2"
"2","EN14825_021","0.90","5","3","0","2"
"2","EN14825_022","55","4","3","0","2"
"2","EN14825_022","55","5","3","0","2"
"2","EN14825_023","36","4","3","0","2"
"2","EN14825_023","36","5","3","0","2"
"2","EN14825_024","0","4","3","0","2"
"2","EN14825_024","0","5","3","0","2"
"2","EN14825_025","36","4","3","0","2"
"2","EN14825_025","36","5","3","0","2"
"2","EN14825_026","0","4","3","0","2"
"2","EN14825_026","0","5","3","0","2"
"2","EN14825_027","1","4","3","0","2"
"2","EN14825_027","1","5","3","0","2"
"2","EN14825_028","1.60","4","3","0","2"
"2","EN14825_028","3.50","5","3","0","2"
"2","EN14825_029","9382","4","3","0","2"
"2","EN14825_029","10320","5","3","0","2"
"2","EN16147_001","""","0","3","0","2"
"2","EN16147_004","""","0","3","0","2"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","5,000 kg","0","0","0","0"
"","Date","n/a","0","0","0","0"
"","Manufacturer"," Johnson Controls-Hitachi AirConditioning Spain","0","0","0","0"
"","Modelname","10. Yutaki S 8.0HP (tri)","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","n/a","0","0","0","0"
