"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_4_001","2","0","10","0","2","0"
"","EN14511_4_001","2","0","10","0","2","0"
"","EN14511_4_002","2","0","10","0","2","0"
"","EN14511_4_002","2","0","10","0","2","0"
"","EN14511_2_001","10.80","4","10","0","2","0"
"","EN14511_2_001","9.29","5","10","0","2","0"
"","EN14511_2_002","2.51","4","10","0","2","0"
"","EN14511_2_002","3.52","5","10","0","2","0"
"","EN14511_2_003","4.30","4","10","0","2","0"
"","EN14511_2_003","2.64","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN12102_1_001","46","4","3","0","2","0"
"","EN12102_1_001","46","5","3","0","2","0"
"","EN12102_1_002","68","4","3","0","2","0"
"","EN12102_1_002","68","5","3","0","2","0"
"","EN14825_001","154","4","3","0","2","0"
"","EN14825_001","112","5","3","0","2","0"
"","EN14825_002","11.30","4","3","0","2","0"
"","EN14825_002","9.30","5","3","0","2","0"
"","EN14825_003","3.92","4","3","0","2","0"
"","EN14825_003","2.87","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","10.00","4","3","0","2","0"
"","EN14825_008","8.20","5","3","0","2","0"
"","EN14825_009","2.70","4","3","0","2","0"
"","EN14825_009","1.90","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","6.10","4","3","0","2","0"
"","EN14825_010","5.00","5","3","0","2","0"
"","EN14825_011","3.70","4","3","0","2","0"
"","EN14825_011","2.70","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","6.20","4","3","0","2","0"
"","EN14825_012","5.90","5","3","0","2","0"
"","EN14825_013","5.50","4","3","0","2","0"
"","EN14825_013","3.90","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","7.40","4","3","0","2","0"
"","EN14825_014","7.00","5","3","0","2","0"
"","EN14825_015","7.10","4","3","0","2","0"
"","EN14825_015","5.20","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","10.00","4","3","0","2","0"
"","EN14825_016","8.20","5","3","0","2","0"
"","EN14825_017","2.70","4","3","0","2","0"
"","EN14825_017","1.90","5","3","0","2","0"
"","EN14825_018","9.90","4","3","0","2","0"
"","EN14825_018","8.10","5","3","0","2","0"
"","EN14825_019","2.30","4","3","0","2","0"
"","EN14825_019","1.60","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","14","4","3","0","2","0"
"","EN14825_023","14","5","3","0","2","0"
"","EN14825_024","44","4","3","0","2","0"
"","EN14825_024","32","5","3","0","2","0"
"","EN14825_025","17","4","3","0","2","0"
"","EN14825_025","17","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.40","4","3","0","2","0"
"","EN14825_028","1.20","5","3","0","2","0"
"","EN14825_029","5930","4","3","0","2","0"
"","EN14825_029","6669","5","3","0","2","0"
"","title","Hydramax Gaz 11B25","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_4_001","2","0","10","0","2","0"
"","EN14511_4_001","2","0","10","0","2","0"
"","EN14511_4_002","2","0","10","0","2","0"
"","EN14511_4_002","2","0","10","0","2","0"
"","EN14511_2_001","10.80","4","10","0","2","0"
"","EN14511_2_001","9.29","5","10","0","2","0"
"","EN14511_2_002","2.51","4","10","0","2","0"
"","EN14511_2_002","3.52","5","10","0","2","0"
"","EN14511_2_003","4.30","4","10","0","2","0"
"","EN14511_2_003","2.64","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN12102_1_001","46","4","3","0","2","0"
"","EN12102_1_001","46","5","3","0","2","0"
"","EN12102_1_002","68","4","3","0","2","0"
"","EN12102_1_002","68","5","3","0","2","0"
"","EN14825_001","154","4","3","0","2","0"
"","EN14825_001","112","5","3","0","2","0"
"","EN14825_002","11.30","4","3","0","2","0"
"","EN14825_002","9.30","5","3","0","2","0"
"","EN14825_003","3.92","4","3","0","2","0"
"","EN14825_003","2.87","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","10.00","4","3","0","2","0"
"","EN14825_008","8.20","5","3","0","2","0"
"","EN14825_009","2.70","4","3","0","2","0"
"","EN14825_009","1.90","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","6.10","4","3","0","2","0"
"","EN14825_010","5.00","5","3","0","2","0"
"","EN14825_011","3.70","4","3","0","2","0"
"","EN14825_011","2.70","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","6.20","4","3","0","2","0"
"","EN14825_012","5.90","5","3","0","2","0"
"","EN14825_013","5.50","4","3","0","2","0"
"","EN14825_013","3.90","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","7.40","4","3","0","2","0"
"","EN14825_014","7.00","5","3","0","2","0"
"","EN14825_015","7.10","4","3","0","2","0"
"","EN14825_015","5.20","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","10.00","4","3","0","2","0"
"","EN14825_016","8.20","5","3","0","2","0"
"","EN14825_017","2.70","4","3","0","2","0"
"","EN14825_017","1.90","5","3","0","2","0"
"","EN14825_018","9.90","4","3","0","2","0"
"","EN14825_018","8.10","5","3","0","2","0"
"","EN14825_019","2.30","4","3","0","2","0"
"","EN14825_019","1.60","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","14","4","3","0","2","0"
"","EN14825_023","14","5","3","0","2","0"
"","EN14825_024","44","4","3","0","2","0"
"","EN14825_024","32","5","3","0","2","0"
"","EN14825_025","17","4","3","0","2","0"
"","EN14825_025","17","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.40","4","3","0","2","0"
"","EN14825_028","1.20","5","3","0","2","0"
"","EN14825_029","5930","4","3","0","2","0"
"","EN14825_029","6669","5","3","0","2","0"
"","title","Hydrapac 11B10","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_4_001","2","0","10","0","2","0"
"","EN14511_4_001","2","0","10","0","2","0"
"","EN14511_4_002","2","0","10","0","2","0"
"","EN14511_4_002","2","0","10","0","2","0"
"","EN14511_2_001","10.80","4","10","0","2","0"
"","EN14511_2_001","9.29","5","10","0","2","0"
"","EN14511_2_002","2.51","4","10","0","2","0"
"","EN14511_2_002","3.52","5","10","0","2","0"
"","EN14511_2_003","4.30","4","10","0","2","0"
"","EN14511_2_003","2.64","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN12102_1_001","46","4","3","0","2","0"
"","EN12102_1_001","46","5","3","0","2","0"
"","EN12102_1_002","68","4","3","0","2","0"
"","EN12102_1_002","68","5","3","0","2","0"
"","EN14825_001","154","4","3","0","2","0"
"","EN14825_001","112","5","3","0","2","0"
"","EN14825_002","11.30","4","3","0","2","0"
"","EN14825_002","9.30","5","3","0","2","0"
"","EN14825_003","3.92","4","3","0","2","0"
"","EN14825_003","2.87","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","10.00","4","3","0","2","0"
"","EN14825_008","8.20","5","3","0","2","0"
"","EN14825_009","2.70","4","3","0","2","0"
"","EN14825_009","1.90","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","6.10","4","3","0","2","0"
"","EN14825_010","5.00","5","3","0","2","0"
"","EN14825_011","3.70","4","3","0","2","0"
"","EN14825_011","2.70","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","6.20","4","3","0","2","0"
"","EN14825_012","5.90","5","3","0","2","0"
"","EN14825_013","5.50","4","3","0","2","0"
"","EN14825_013","3.90","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","7.40","4","3","0","2","0"
"","EN14825_014","7.00","5","3","0","2","0"
"","EN14825_015","7.10","4","3","0","2","0"
"","EN14825_015","5.20","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","10.00","4","3","0","2","0"
"","EN14825_016","8.20","5","3","0","2","0"
"","EN14825_017","2.70","4","3","0","2","0"
"","EN14825_017","1.90","5","3","0","2","0"
"","EN14825_018","9.90","4","3","0","2","0"
"","EN14825_018","8.10","5","3","0","2","0"
"","EN14825_019","2.30","4","3","0","2","0"
"","EN14825_019","1.60","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","14","4","3","0","2","0"
"","EN14825_023","14","5","3","0","2","0"
"","EN14825_024","44","4","3","0","2","0"
"","EN14825_024","32","5","3","0","2","0"
"","EN14825_025","17","4","3","0","2","0"
"","EN14825_025","17","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.40","4","3","0","2","0"
"","EN14825_028","1.20","5","3","0","2","0"
"","EN14825_029","5930","4","3","0","2","0"
"","EN14825_029","6669","5","3","0","2","0"
"","title","Hydrapac 11B25","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_4_001","2","0","10","0","2","0"
"","EN14511_4_001","2","0","10","0","2","0"
"","EN14511_4_002","2","0","10","0","2","0"
"","EN14511_4_002","2","0","10","0","2","0"
"","EN14511_2_001","10.80","4","10","0","2","0"
"","EN14511_2_001","9.29","5","10","0","2","0"
"","EN14511_2_002","2.51","4","10","0","2","0"
"","EN14511_2_002","3.52","5","10","0","2","0"
"","EN14511_2_003","4.30","4","10","0","2","0"
"","EN14511_2_003","2.64","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN12102_1_001","46","4","3","0","2","0"
"","EN12102_1_001","46","5","3","0","2","0"
"","EN12102_1_002","68","4","3","0","2","0"
"","EN12102_1_002","68","5","3","0","2","0"
"","EN14825_001","154","4","3","0","2","0"
"","EN14825_001","112","5","3","0","2","0"
"","EN14825_002","11.30","4","3","0","2","0"
"","EN14825_002","9.30","5","3","0","2","0"
"","EN14825_003","3.92","4","3","0","2","0"
"","EN14825_003","2.87","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","10.00","4","3","0","2","0"
"","EN14825_008","8.20","5","3","0","2","0"
"","EN14825_009","2.70","4","3","0","2","0"
"","EN14825_009","1.90","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","6.10","4","3","0","2","0"
"","EN14825_010","5.00","5","3","0","2","0"
"","EN14825_011","3.70","4","3","0","2","0"
"","EN14825_011","2.70","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","6.20","4","3","0","2","0"
"","EN14825_012","5.90","5","3","0","2","0"
"","EN14825_013","5.50","4","3","0","2","0"
"","EN14825_013","3.90","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","7.40","4","3","0","2","0"
"","EN14825_014","7.00","5","3","0","2","0"
"","EN14825_015","7.10","4","3","0","2","0"
"","EN14825_015","5.20","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","10.00","4","3","0","2","0"
"","EN14825_016","8.20","5","3","0","2","0"
"","EN14825_017","2.70","4","3","0","2","0"
"","EN14825_017","1.90","5","3","0","2","0"
"","EN14825_018","9.90","4","3","0","2","0"
"","EN14825_018","8.10","5","3","0","2","0"
"","EN14825_019","2.30","4","3","0","2","0"
"","EN14825_019","1.60","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","14","4","3","0","2","0"
"","EN14825_023","14","5","3","0","2","0"
"","EN14825_024","44","4","3","0","2","0"
"","EN14825_024","32","5","3","0","2","0"
"","EN14825_025","17","4","3","0","2","0"
"","EN14825_025","17","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.40","4","3","0","2","0"
"","EN14825_028","1.20","5","3","0","2","0"
"","EN14825_029","5930","4","3","0","2","0"
"","EN14825_029","6669","5","3","0","2","0"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","2,500 kg","0","0","0","0"
"","Date","09.12.2022","0","0","0","0"
"","Manufacturer"," Groupe Atlantic","0","0","0","0"
"","Modelname","Alféa Excellia Tri 11","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","n/a","0","0","0","0"
