"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"P4-2","EN14825_049","0.985","4","1","0","2","0"
"P4-2","EN14825_049","0.99","5","1","0","2","0"
"P4-2","EN14825_049","0.967","4","3","0","2","0"
"P4-2","EN14825_049","0.973","5","3","0","2","0"
"P4-2","EN14825_014","2.29","4","1","0","2","0"
"P4-2","EN14825_014","2.29","5","1","0","2","0"
"P4-2","EN14825_014","2.14","4","3","0","2","0"
"P4-2","EN14825_014","1.91","5","3","0","2","0"
"P4-2","EN14825_015","7.24","4","1","0","2","0"
"P4-2","EN14825_015","5.84","5","1","0","2","0"
"P4-2","EN14825_015","7.68","4","3","0","2","0"
"P4-2","EN14825_015","6.55","5","3","0","2","0"
"P4-2","EN14825_050","0.953","4","1","0","2","0"
"P4-2","EN14825_050","0.962","5","1","0","2","0"
"P4-2","EN14825_050","0.946","4","3","0","2","0"
"P4-2","EN14825_050","0.949","5","3","0","2","0"
"P4-2","EN14825_016","8","4","1","0","2","0"
"P4-2","EN14825_016","8","5","1","0","2","0"
"P4-2","EN14825_016","7.08","4","3","0","2","0"
"P4-2","EN14825_016","7.08","5","3","0","2","0"
"P4-2","EN14825_017","3.42","4","1","0","2","0"
"P4-2","EN14825_017","2.12","5","1","0","2","0"
"P4-2","EN14825_017","3.04","4","3","0","2","0"
"P4-2","EN14825_017","2.19","5","3","0","2","0"
"P4-2","EN14825_018","8","4","1","0","2","0"
"P4-2","EN14825_018","8","5","1","0","2","0"
"P4-2","EN14825_018","7.1","4","3","0","2","0"
"P4-2","EN14825_018","7.15","5","3","0","2","0"
"P4-2","EN14825_019","3.42","4","1","0","2","0"
"P4-2","EN14825_019","2.12","5","1","0","2","0"
"P4-2","EN14825_019","2.68","4","3","0","2","0"
"P4-2","EN14825_019","1.79","5","3","0","2","0"
"P4-2","EN14825_021","0.994","4","1","0","2","0"
"P4-2","EN14825_021","0.996","5","1","0","2","0"
"P4-2","EN14825_021","0.994","4","3","0","2","0"
"P4-2","EN14825_021","0.996","5","3","0","2","0"
"P4-2","EN14825_030","4","6","4","0","2","0"
"P4-2","EN14825_030","5","7","4","0","2","0"
"P4-2","EN14825_031","3.96","6","4","0","2","0"
"P4-2","EN14825_031","4.92","7","4","0","2","0"
"P4-2","EN14825_032","4","6","4","0","2","0"
"P4-2","EN14825_032","5","7","4","0","2","0"
"P4-2","EN14825_033","2.7","6","4","0","2","0"
"P4-2","EN14825_033","2.8","7","4","0","2","0"
"P4-2","EN14825_052","0.99","6","4","0","2","0"
"P4-2","EN14825_052","0.992","7","4","0","2","0"
"P4-2","EN14825_034","2.93","6","4","0","2","0"
"P4-2","EN14825_034","3.65","7","4","0","2","0"
"P4-2","EN14825_035","3.58","6","4","0","2","0"
"P4-2","EN14825_035","4.33","7","4","0","2","0"
"P4-2","EN14825_053","0.982","6","4","0","2","0"
"P4-2","EN14825_053","0.982","7","4","0","2","0"
"P4-2","EN14825_036","2.5","6","4","0","2","0"
"P4-2","EN14825_036","3.17","7","4","0","2","0"
"P4-2","EN14825_037","4.53","6","4","0","2","0"
"P4-2","EN14825_037","5.75","7","4","0","2","0"
"P4-2","EN14825_054","0.973","6","4","0","2","0"
"P4-2","EN14825_054","0.973","7","4","0","2","0"
"P4-2","EN14825_038","2.34","6","4","0","2","0"
"P4-2","EN14825_038","3.42","7","4","0","2","0"
"P4-2","EN14825_039","5.38","6","4","0","2","0"
"P4-2","EN14825_039","7.38","7","4","0","2","0"
"P4-2","EN14825_055","0.966","6","4","0","2","0"
"P4-2","EN14825_055","0.968","7","4","0","2","0"
"P4-2","EN14825_022","75","4","1","0","2","0"
"P4-2","EN14825_022","75","5","1","0","2","0"
"P4-2","EN14825_022","75","4","3","0","2","0"
"P4-2","EN14825_022","75","5","3","0","2","0"
"P4-2","EN14825_023","15","4","1","0","2","0"
"P4-2","EN14825_023","15","5","1","0","2","0"
"P4-2","EN14825_023","15","4","3","0","2","0"
"P4-2","EN14825_023","15","5","3","0","2","0"
"P4-2","EN14825_023","15","6","4","0","2","0"
"P4-2","EN14825_023","15","7","4","0","2","0"
"P4-2","EN14825_024","15","4","1","0","2","0"
"P4-2","EN14825_024","15","5","1","0","2","0"
"P4-2","EN14825_024","15","4","3","0","2","0"
"P4-2","EN14825_024","15","5","3","0","2","0"
"P4-2","EN14825_024","15","6","4","0","2","0"
"P4-2","EN14825_024","15","7","4","0","2","0"
"P4-2","EN14825_025","15","4","1","0","2","0"
"P4-2","EN14825_025","15","5","1","0","2","0"
"P4-2","EN14825_025","15","4","3","0","2","0"
"P4-2","EN14825_025","15","5","3","0","2","0"
"P4-2","EN14825_025","15","6","4","0","2","0"
"P4-2","EN14825_025","15","7","4","0","2","0"
"P4-2","EN14825_026","0","4","1","0","2","0"
"P4-2","EN14825_026","0","5","1","0","2","0"
"P4-2","EN14825_026","0","4","3","0","2","0"
"P4-2","EN14825_026","0","5","3","0","2","0"
"P4-2","EN14825_026","0","6","4","0","2","0"
"P4-2","EN14825_026","0","7","4","0","2","0"
"P4-2","EN14825_027","1","4","1","0","2","0"
"P4-2","EN14825_027","1","5","1","0","2","0"
"P4-2","EN14825_027","1","4","3","0","2","0"
"P4-2","EN14825_027","1","5","3","0","2","0"
"P4-2","EN14825_028","0","4","1","0","2","0"
"P4-2","EN14825_028","0","5","1","0","2","0"
"P4-2","EN14825_028","0.9","4","3","0","2","0"
"P4-2","EN14825_028","0.85","5","3","0","2","0"
"P4-2","EN14825_029","1803","4","1","0","2","0"
"P4-2","EN14825_029","2575","5","1","0","2","0"
"P4-2","EN14825_029","3683","4","3","0","2","0"
"P4-2","EN14825_029","4639","5","3","0","2","0"
"P4-2","EN14825_041","606","6","4","0","2","0"
"P4-2","EN14825_041","609","7","4","0","2","0"
"P4-2","EN16147_001","L","0","1","0","2","0"
"P4-2","EN16147_001","L","0","3","0","2","0"
"P4-2","EN16147_002","148","0","1","0","2","0"
"P4-2","EN16147_002","134","0","3","0","2","0"
"P4-2","EN16147_003","3.51","0","1","0","2","0"
"P4-2","EN16147_003","3.19","0","3","0","2","0"
"P4-2","EN16147_004","2:34","0","1","0","2","0"
"P4-2","EN16147_004","2:59","0","3","0","2","0"
"P4-2","EN16147_005","39","0","1","0","2","0"
"P4-2","EN16147_005","41","0","3","0","2","0"
"P4-2","EN16147_006","52.5","0","1","0","2","0"
"P4-2","EN16147_006","52.5","0","3","0","2","0"
"P4-2","EN16147_007","278","0","1","0","2","0"
"P4-2","EN16147_007","278","0","3","0","2","0"
"P4-4","title","PUZ-WZ80VAA(-BS) + ERPX-*M*E","0","0","0","1","0"
"P4-4","application","2","0","0","0","1","0"
"P4-4","indoor","1","0","0","0","1","0"
"P4-4","outdoor","1","0","0","0","1","0"
"P4-4","coolingMode7c12c","1","0","0","0","1","0"
"P4-4","coolingMode18c23c","1","0","0","0","1","0"
"P4-4","colderClimate","0","0","0","0","1","0"
"P4-4","warmerClimate","0","0","0","0","1","0"
"P4-4","reversibility","1","0","0","0","1","0"
"P4-4","colderForHeating","0","0","0","0","1","0"
"P4-4","warmerForHeating","0","0","0","0","1","0"
"P4-4","en145112Certification","0","0","0","0","1","0"
"P4-4","heatSource","1","0","0","0","1","0"
"P4-4","additionalOutdoorAir","0","0","0","0","1","0"
"P4-4","additionalExhaustAir","0","0","0","0","1","0"
"P4-4","additionalIndoorAir","0","0","0","0","1","0"
"P4-4","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"P4-4","powerSupply","1","0","0","0","1","0"
"P4-4","offPeakProduct","0","0","0","0","1","0"
"P4-4","EN14511_2_001","6","4","10","0","2","0"
"P4-4","EN14511_2_001","6","5","10","0","2","0"
"P4-4","EN14511_2_002","1.48","6","4","0","2","0"
"P4-4","EN14511_2_002","1.79","7","4","0","2","0"
"P4-4","EN14511_2_002","1.28","4","10","0","2","0"
"P4-4","EN14511_2_002","2","5","10","0","2","0"
"P4-4","EN14511_2_003","4.7","4","10","0","2","0"
"P4-4","EN14511_2_003","3","5","10","0","2","0"
"P4-4","EN14511_2_005","4","6","4","0","2","0"
"P4-4","EN14511_2_005","5","7","4","0","2","0"
"P4-4","EN14511_2_007","2.7","6","4","0","2","0"
"P4-4","EN14511_2_007","2.8","7","4","0","2","0"
"P4-4","EN14511_4_003","2","0","10","0","2","0"
"P4-4","EN14511_4_004","2","0","10","0","2","0"
"P4-4","EN14511_4_005","2","0","10","0","2","0"
"P4-4","EN14511_4_006","2","0","10","0","2","0"
"P4-4","EN12102_1_001","40","4","1","0","2","0"
"P4-4","EN12102_1_001","40","5","1","0","2","0"
"P4-4","EN12102_1_001","40","4","3","0","2","0"
"P4-4","EN12102_1_001","40","5","3","0","2","0"
"P4-4","EN12102_1_002","58","4","1","0","2","0"
"P4-4","EN12102_1_002","58","5","1","0","2","0"
"P4-4","EN12102_1_002","58","4","3","0","2","0"
"P4-4","EN12102_1_002","58","5","3","0","2","0"
"P4-4","EN14825_001","234","4","1","0","2","0"
"P4-4","EN14825_001","163","5","1","0","2","0"
"P4-4","EN14825_001","176","4","3","0","2","0"
"P4-4","EN14825_001","140","5","3","0","2","0"
"P4-4","EN14825_002","8","4","1","0","2","0"
"P4-4","EN14825_002","8","5","1","0","2","0"
"P4-4","EN14825_002","8","4","3","0","2","0"
"P4-4","EN14825_002","8","5","3","0","2","0"
"P4-4","EN14825_003","5.93","4","1","0","2","0"
"P4-4","EN14825_003","4.15","5","1","0","2","0"
"P4-4","EN14825_003","4.49","4","3","0","2","0"
"P4-4","EN14825_003","3.56","5","3","0","2","0"
"P4-4","EN14825_004","2","4","1","0","2","0"
"P4-4","EN14825_004","2","5","1","0","2","0"
"P4-4","EN14825_004","-7","4","3","0","2","0"
"P4-4","EN14825_004","-7","5","3","0","2","0"
"P4-4","EN14825_005","-25","4","1","0","2","0"
"P4-4","EN14825_005","-25","5","1","0","2","0"
"P4-4","EN14825_005","-25","4","3","0","2","0"
"P4-4","EN14825_005","-25","5","3","0","2","0"
"P4-4","EN14825_008","7.08","4","3","0","2","0"
"P4-4","EN14825_008","7.08","5","3","0","2","0"
"P4-4","EN14825_009","3.04","4","3","0","2","0"
"P4-4","EN14825_009","2.19","5","3","0","2","0"
"P4-4","EN14825_047","0.994","4","3","0","2","0"
"P4-4","EN14825_047","0.995","5","3","0","2","0"
"P4-4","EN14825_010","8","4","1","0","2","0"
"P4-4","EN14825_010","8","5","1","0","2","0"
"P4-4","EN14825_010","4.36","4","3","0","2","0"
"P4-4","EN14825_010","4.33","5","3","0","2","0"
"P4-4","EN14825_011","3.42","4","1","0","2","0"
"P4-4","EN14825_011","2.12","5","1","0","2","0"
"P4-4","EN14825_011","4.13","4","3","0","2","0"
"P4-4","EN14825_011","3.34","5","3","0","2","0"
"P4-4","EN14825_048","0.994","4","1","0","2","0"
"P4-4","EN14825_048","0.996","5","1","0","2","0"
"P4-4","EN14825_048","0.986","4","3","0","2","0"
"P4-4","EN14825_048","0.988","5","3","0","2","0"
"P4-4","EN14825_012","5.14","4","1","0","2","0"
"P4-4","EN14825_012","5.14","5","1","0","2","0"
"P4-4","EN14825_012","2.81","4","3","0","2","0"
"P4-4","EN14825_012","2.78","5","3","0","2","0"
"P4-4","EN14825_013","5.26","4","1","0","2","0"
"P4-4","EN14825_013","3.26","5","1","0","2","0"
"P4-4","EN14825_013","6.17","4","3","0","2","0"
"P4-4","EN14825_013","5","5","3","0","2","0"
"P4-4","EN14825_049","0.985","4","1","0","2","0"
"P4-4","EN14825_049","0.99","5","1","0","2","0"
"P4-4","EN14825_049","0.967","4","3","0","2","0"
"P4-4","EN14825_049","0.973","5","3","0","2","0"
"P4-4","EN14825_014","2.29","4","1","0","2","0"
"P4-4","EN14825_014","2.29","5","1","0","2","0"
"P4-4","EN14825_014","2.14","4","3","0","2","0"
"P4-4","EN14825_014","1.91","5","3","0","2","0"
"P4-4","EN14825_015","7.24","4","1","0","2","0"
"P4-4","EN14825_015","5.84","5","1","0","2","0"
"P4-4","EN14825_015","7.68","4","3","0","2","0"
"P4-4","EN14825_015","6.55","5","3","0","2","0"
"P4-4","EN14825_050","0.953","4","1","0","2","0"
"P4-4","EN14825_050","0.962","5","1","0","2","0"
"P4-4","EN14825_050","0.946","4","3","0","2","0"
"P4-4","EN14825_050","0.949","5","3","0","2","0"
"P4-4","EN14825_016","8","4","1","0","2","0"
"P4-4","EN14825_016","8","5","1","0","2","0"
"P4-4","EN14825_016","7.08","4","3","0","2","0"
"P4-4","EN14825_016","7.08","5","3","0","2","0"
"P4-4","EN14825_017","3.42","4","1","0","2","0"
"P4-4","EN14825_017","2.12","5","1","0","2","0"
"P4-4","EN14825_017","3.04","4","3","0","2","0"
"P4-4","EN14825_017","2.19","5","3","0","2","0"
"P4-4","EN14825_018","8","4","1","0","2","0"
"P4-4","EN14825_018","8","5","1","0","2","0"
"P4-4","EN14825_018","7.1","4","3","0","2","0"
"P4-4","EN14825_018","7.15","5","3","0","2","0"
"P4-4","EN14825_019","3.42","4","1","0","2","0"
"P4-4","EN14825_019","2.12","5","1","0","2","0"
"P4-4","EN14825_019","2.68","4","3","0","2","0"
"P4-4","EN14825_019","1.79","5","3","0","2","0"
"P4-4","EN14825_021","0.994","4","1","0","2","0"
"P4-4","EN14825_021","0.996","5","1","0","2","0"
"P4-4","EN14825_021","0.994","4","3","0","2","0"
"P4-4","EN14825_021","0.996","5","3","0","2","0"
"P4-4","EN14825_030","4","6","4","0","2","0"
"P4-4","EN14825_030","5","7","4","0","2","0"
"P4-4","EN14825_031","3.96","6","4","0","2","0"
"P4-4","EN14825_031","4.92","7","4","0","2","0"
"P4-4","EN14825_032","4","6","4","0","2","0"
"P4-4","EN14825_032","5","7","4","0","2","0"
"P4-4","EN14825_033","2.7","6","4","0","2","0"
"P4-4","EN14825_033","2.8","7","4","0","2","0"
"P4-4","EN14825_052","0.99","6","4","0","2","0"
"P4-4","EN14825_052","0.992","7","4","0","2","0"
"P4-4","EN14825_034","2.93","6","4","0","2","0"
"P4-4","EN14825_034","3.65","7","4","0","2","0"
"P4-4","EN14825_035","3.58","6","4","0","2","0"
"P4-4","EN14825_035","4.33","7","4","0","2","0"
"P4-4","EN14825_053","0.982","6","4","0","2","0"
"P4-4","EN14825_053","0.982","7","4","0","2","0"
"P4-4","EN14825_036","2.5","6","4","0","2","0"
"P4-4","EN14825_036","3.17","7","4","0","2","0"
"P4-4","EN14825_037","4.53","6","4","0","2","0"
"P4-4","EN14825_037","5.75","7","4","0","2","0"
"P4-4","EN14825_054","0.973","6","4","0","2","0"
"P4-4","EN14825_054","0.973","7","4","0","2","0"
"P4-4","EN14825_038","2.34","6","4","0","2","0"
"P4-4","EN14825_038","3.42","7","4","0","2","0"
"P4-4","EN14825_039","5.38","6","4","0","2","0"
"P4-4","EN14825_039","7.38","7","4","0","2","0"
"P4-4","EN14825_055","0.966","6","4","0","2","0"
"P4-4","EN14825_055","0.968","7","4","0","2","0"
"P4-4","EN14825_022","75","4","1","0","2","0"
"P4-4","EN14825_022","75","5","1","0","2","0"
"P4-4","EN14825_022","75","4","3","0","2","0"
"P4-4","EN14825_022","75","5","3","0","2","0"
"P4-4","EN14825_023","15","4","1","0","2","0"
"P4-4","EN14825_023","15","5","1","0","2","0"
"P4-4","EN14825_023","15","4","3","0","2","0"
"P4-4","EN14825_023","15","5","3","0","2","0"
"P4-4","EN14825_023","15","6","4","0","2","0"
"P4-4","EN14825_023","15","7","4","0","2","0"
"P4-4","EN14825_024","15","4","1","0","2","0"
"P4-4","EN14825_024","15","5","1","0","2","0"
"P4-4","EN14825_024","15","4","3","0","2","0"
"P4-4","EN14825_024","15","5","3","0","2","0"
"P4-4","EN14825_024","15","6","4","0","2","0"
"P4-4","EN14825_024","15","7","4","0","2","0"
"P4-4","EN14825_025","15","4","1","0","2","0"
"P4-4","EN14825_025","15","5","1","0","2","0"
"P4-4","EN14825_025","15","4","3","0","2","0"
"P4-4","EN14825_025","15","5","3","0","2","0"
"P4-4","EN14825_025","15","6","4","0","2","0"
"P4-4","EN14825_025","15","7","4","0","2","0"
"P4-4","EN14825_026","0","4","1","0","2","0"
"P4-4","EN14825_026","0","5","1","0","2","0"
"P4-4","EN14825_026","0","4","3","0","2","0"
"P4-4","EN14825_026","0","5","3","0","2","0"
"P4-4","EN14825_026","0","6","4","0","2","0"
"P4-4","EN14825_026","0","7","4","0","2","0"
"P4-4","EN14825_027","1","4","1","0","2","0"
"P4-4","EN14825_027","1","5","1","0","2","0"
"P4-4","EN14825_027","1","4","3","0","2","0"
"P4-4","EN14825_027","1","5","3","0","2","0"
"P4-4","EN14825_028","0","4","1","0","2","0"
"P4-4","EN14825_028","0","5","1","0","2","0"
"P4-4","EN14825_028","0.9","4","3","0","2","0"
"P4-4","EN14825_028","0.85","5","3","0","2","0"
"P4-4","EN14825_029","1803","4","1","0","2","0"
"P4-4","EN14825_029","2575","5","1","0","2","0"
"P4-4","EN14825_029","3683","4","3","0","2","0"
"P4-4","EN14825_029","4639","5","3","0","2","0"
"P4-4","EN14825_041","606","6","4","0","2","0"
"P4-4","EN14825_041","609","7","4","0","2","0"
"P4-4","EN16147_001","-","0","1","0","2","0"
"P4-4","EN16147_001","-","0","3","0","2","0"
"P4-4","EN16147_002","0","0","1","0","2","0"
"P4-4","EN16147_002","0","0","3","0","2","0"
"P4-4","EN16147_003","0","0","1","0","2","0"
"P4-4","EN16147_003","0","0","3","0","2","0"
"P4-4","EN16147_004","-","0","1","0","2","0"
"P4-4","EN16147_004","-","0","3","0","2","0"
"P4-4","EN16147_005","0","0","1","0","2","0"
"P4-4","EN16147_005","0","0","3","0","2","0"
"P4-4","EN16147_006","0","0","1","0","2","0"
"P4-4","EN16147_006","0","0","3","0","2","0"
"P4-4","EN16147_007","0","0","1","0","2","0"
"P4-4","EN16147_007","0","0","3","0","2","0"
"P4-3","title","PUZ-WZ80VAA(-BS) + ERPX-ME","0","0","0","1","0"
"P4-3","application","2","0","0","0","1","0"
"P4-3","indoor","1","0","0","0","1","0"
"P4-3","outdoor","1","0","0","0","1","0"
"P4-3","coolingMode7c12c","1","0","0","0","1","0"
"P4-3","coolingMode18c23c","1","0","0","0","1","0"
"P4-3","colderClimate","0","0","0","0","1","0"
"P4-3","warmerClimate","0","0","0","0","1","0"
"P4-3","reversibility","1","0","0","0","1","0"
"P4-3","colderForHeating","0","0","0","0","1","0"
"P4-3","warmerForHeating","0","0","0","0","1","0"
"P4-3","en145112Certification","0","0","0","0","1","0"
"P4-3","heatSource","1","0","0","0","1","0"
"P4-3","additionalOutdoorAir","0","0","0","0","1","0"
"P4-3","additionalExhaustAir","0","0","0","0","1","0"
"P4-3","additionalIndoorAir","0","0","0","0","1","0"
"P4-3","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"P4-3","powerSupply","1","0","0","0","1","0"
"P4-3","offPeakProduct","0","0","0","0","1","0"
"P4-3","EN14511_2_001","6","4","10","0","2","0"
"P4-3","EN14511_2_001","6","5","10","0","2","0"
"P4-3","EN14511_2_002","1.48","6","4","0","2","0"
"P4-3","EN14511_2_002","1.79","7","4","0","2","0"
"P4-3","EN14511_2_002","1.28","4","10","0","2","0"
"P4-3","EN14511_2_002","2","5","10","0","2","0"
"P4-3","EN14511_2_003","4.7","4","10","0","2","0"
"P4-3","EN14511_2_003","3","5","10","0","2","0"
"P4-3","EN14511_2_005","4","6","4","0","2","0"
"P4-3","EN14511_2_005","5","7","4","0","2","0"
"P4-3","EN14511_2_007","2.7","6","4","0","2","0"
"P4-3","EN14511_2_007","2.8","7","4","0","2","0"
"P4-3","EN14511_4_003","2","0","10","0","2","0"
"P4-3","EN14511_4_004","2","0","10","0","2","0"
"P4-3","EN14511_4_005","2","0","10","0","2","0"
"P4-3","EN14511_4_006","2","0","10","0","2","0"
"P4-3","EN12102_1_001","40","4","1","0","2","0"
"P4-3","EN12102_1_001","40","5","1","0","2","0"
"P4-3","EN12102_1_001","40","4","3","0","2","0"
"P4-3","EN12102_1_001","40","5","3","0","2","0"
"P4-3","EN12102_1_002","58","4","1","0","2","0"
"P4-3","EN12102_1_002","58","5","1","0","2","0"
"P4-3","EN12102_1_002","58","4","3","0","2","0"
"P4-3","EN12102_1_002","58","5","3","0","2","0"
"P4-3","EN14825_001","234","4","1","0","2","0"
"P4-3","EN14825_001","163","5","1","0","2","0"
"P4-3","EN14825_001","176","4","3","0","2","0"
"P4-3","EN14825_001","140","5","3","0","2","0"
"P4-3","EN14825_002","8","4","1","0","2","0"
"P4-3","EN14825_002","8","5","1","0","2","0"
"P4-3","EN14825_002","8","4","3","0","2","0"
"P4-3","EN14825_002","8","5","3","0","2","0"
"P4-3","EN14825_003","5.93","4","1","0","2","0"
"P4-3","EN14825_003","4.15","5","1","0","2","0"
"P4-3","EN14825_003","4.49","4","3","0","2","0"
"P4-3","EN14825_003","3.56","5","3","0","2","0"
"P4-3","EN14825_004","2","4","1","0","2","0"
"P4-3","EN14825_004","2","5","1","0","2","0"
"P4-3","EN14825_004","-7","4","3","0","2","0"
"P4-3","EN14825_004","-7","5","3","0","2","0"
"P4-3","EN14825_005","-25","4","1","0","2","0"
"P4-3","EN14825_005","-25","5","1","0","2","0"
"P4-3","EN14825_005","-25","4","3","0","2","0"
"P4-3","EN14825_005","-25","5","3","0","2","0"
"P4-3","EN14825_008","7.08","4","3","0","2","0"
"P4-3","EN14825_008","7.08","5","3","0","2","0"
"P4-3","EN14825_009","3.04","4","3","0","2","0"
"P4-3","EN14825_009","2.19","5","3","0","2","0"
"P4-3","EN14825_047","0.994","4","3","0","2","0"
"P4-3","EN14825_047","0.995","5","3","0","2","0"
"P4-3","EN14825_010","8","4","1","0","2","0"
"P4-3","EN14825_010","8","5","1","0","2","0"
"P4-3","EN14825_010","4.36","4","3","0","2","0"
"P4-3","EN14825_010","4.33","5","3","0","2","0"
"P4-3","EN14825_011","3.42","4","1","0","2","0"
"P4-3","EN14825_011","2.12","5","1","0","2","0"
"P4-3","EN14825_011","4.13","4","3","0","2","0"
"P4-3","EN14825_011","3.34","5","3","0","2","0"
"P4-3","EN14825_048","0.994","4","1","0","2","0"
"P4-3","EN14825_048","0.996","5","1","0","2","0"
"P4-3","EN14825_048","0.986","4","3","0","2","0"
"P4-3","EN14825_048","0.988","5","3","0","2","0"
"P4-3","EN14825_012","5.14","4","1","0","2","0"
"P4-3","EN14825_012","5.14","5","1","0","2","0"
"P4-3","EN14825_012","2.81","4","3","0","2","0"
"P4-3","EN14825_012","2.78","5","3","0","2","0"
"P4-3","EN14825_013","5.26","4","1","0","2","0"
"P4-3","EN14825_013","3.26","5","1","0","2","0"
"P4-3","EN14825_013","6.17","4","3","0","2","0"
"P4-3","EN14825_013","5","5","3","0","2","0"
"P4-3","EN14825_049","0.985","4","1","0","2","0"
"P4-3","EN14825_049","0.99","5","1","0","2","0"
"P4-3","EN14825_049","0.967","4","3","0","2","0"
"P4-3","EN14825_049","0.973","5","3","0","2","0"
"P4-3","EN14825_014","2.29","4","1","0","2","0"
"P4-3","EN14825_014","2.29","5","1","0","2","0"
"P4-3","EN14825_014","2.14","4","3","0","2","0"
"P4-3","EN14825_014","1.91","5","3","0","2","0"
"P4-3","EN14825_015","7.24","4","1","0","2","0"
"P4-3","EN14825_015","5.84","5","1","0","2","0"
"P4-3","EN14825_015","7.68","4","3","0","2","0"
"P4-3","EN14825_015","6.55","5","3","0","2","0"
"P4-3","EN14825_050","0.953","4","1","0","2","0"
"P4-3","EN14825_050","0.962","5","1","0","2","0"
"P4-3","EN14825_050","0.946","4","3","0","2","0"
"P4-3","EN14825_050","0.949","5","3","0","2","0"
"P4-3","EN14825_016","8","4","1","0","2","0"
"P4-3","EN14825_016","8","5","1","0","2","0"
"P4-3","EN14825_016","7.08","4","3","0","2","0"
"P4-3","EN14825_016","7.08","5","3","0","2","0"
"P4-3","EN14825_017","3.42","4","1","0","2","0"
"P4-3","EN14825_017","2.12","5","1","0","2","0"
"P4-3","EN14825_017","3.04","4","3","0","2","0"
"P4-3","EN14825_017","2.19","5","3","0","2","0"
"P4-3","EN14825_018","8","4","1","0","2","0"
"P4-3","EN14825_018","8","5","1","0","2","0"
"P4-3","EN14825_018","7.1","4","3","0","2","0"
"P4-3","EN14825_018","7.15","5","3","0","2","0"
"P4-3","EN14825_019","3.42","4","1","0","2","0"
"P4-3","EN14825_019","2.12","5","1","0","2","0"
"P4-3","EN14825_019","2.68","4","3","0","2","0"
"P4-3","EN14825_019","1.79","5","3","0","2","0"
"P4-3","EN14825_021","0.994","4","1","0","2","0"
"P4-3","EN14825_021","0.996","5","1","0","2","0"
"P4-3","EN14825_021","0.994","4","3","0","2","0"
"P4-3","EN14825_021","0.996","5","3","0","2","0"
"P4-3","EN14825_030","4","6","4","0","2","0"
"P4-3","EN14825_030","5","7","4","0","2","0"
"P4-3","EN14825_031","3.96","6","4","0","2","0"
"P4-3","EN14825_031","4.92","7","4","0","2","0"
"P4-3","EN14825_032","4","6","4","0","2","0"
"P4-3","EN14825_032","5","7","4","0","2","0"
"P4-3","EN14825_033","2.7","6","4","0","2","0"
"P4-3","EN14825_033","2.8","7","4","0","2","0"
"P4-3","EN14825_052","0.99","6","4","0","2","0"
"P4-3","EN14825_052","0.992","7","4","0","2","0"
"P4-3","EN14825_034","2.93","6","4","0","2","0"
"P4-3","EN14825_034","3.65","7","4","0","2","0"
"P4-3","EN14825_035","3.58","6","4","0","2","0"
"P4-3","EN14825_035","4.33","7","4","0","2","0"
"P4-3","EN14825_053","0.982","6","4","0","2","0"
"P4-3","EN14825_053","0.982","7","4","0","2","0"
"P4-3","EN14825_036","2.5","6","4","0","2","0"
"P4-3","EN14825_036","3.17","7","4","0","2","0"
"P4-3","EN14825_037","4.53","6","4","0","2","0"
"P4-3","EN14825_037","5.75","7","4","0","2","0"
"P4-3","EN14825_054","0.973","6","4","0","2","0"
"P4-3","EN14825_054","0.973","7","4","0","2","0"
"P4-3","EN14825_038","2.34","6","4","0","2","0"
"P4-3","EN14825_038","3.42","7","4","0","2","0"
"P4-3","EN14825_039","5.38","6","4","0","2","0"
"P4-3","EN14825_039","7.38","7","4","0","2","0"
"P4-3","EN14825_055","0.966","6","4","0","2","0"
"P4-3","EN14825_055","0.968","7","4","0","2","0"
"P4-3","EN14825_022","75","4","1","0","2","0"
"P4-3","EN14825_022","75","5","1","0","2","0"
"P4-3","EN14825_022","75","4","3","0","2","0"
"P4-3","EN14825_022","75","5","3","0","2","0"
"P4-3","EN14825_023","15","4","1","0","2","0"
"P4-3","EN14825_023","15","5","1","0","2","0"
"P4-3","EN14825_023","15","4","3","0","2","0"
"P4-3","EN14825_023","15","5","3","0","2","0"
"P4-3","EN14825_023","15","6","4","0","2","0"
"P4-3","EN14825_023","15","7","4","0","2","0"
"P4-3","EN14825_024","15","4","1","0","2","0"
"P4-3","EN14825_024","15","5","1","0","2","0"
"P4-3","EN14825_024","15","4","3","0","2","0"
"P4-3","EN14825_024","15","5","3","0","2","0"
"P4-3","EN14825_024","15","6","4","0","2","0"
"P4-3","EN14825_024","15","7","4","0","2","0"
"P4-3","EN14825_025","15","4","1","0","2","0"
"P4-3","EN14825_025","15","5","1","0","2","0"
"P4-3","EN14825_025","15","4","3","0","2","0"
"P4-3","EN14825_025","15","5","3","0","2","0"
"P4-3","EN14825_025","15","6","4","0","2","0"
"P4-3","EN14825_025","15","7","4","0","2","0"
"P4-3","EN14825_026","0","4","1","0","2","0"
"P4-3","EN14825_026","0","5","1","0","2","0"
"P4-3","EN14825_026","0","4","3","0","2","0"
"P4-3","EN14825_026","0","5","3","0","2","0"
"P4-3","EN14825_026","0","6","4","0","2","0"
"P4-3","EN14825_026","0","7","4","0","2","0"
"P4-3","EN14825_027","1","4","1","0","2","0"
