Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_h_ref [W],P_th_h_ref [W],COP_ref,P_el_c_ref [W],P_th_c_ref [W],p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p4_P_th [1/°C],p1_P_el_h [1/°C],p2_P_el_h [1/°C],p3_P_el_h [-],p4_P_el_h [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-],MAPE_P_el,MAPE_COP,MAPE_P_th,p1_Pdc [1/°C],p2_Pdc [1/°C],p3_Pdc [-],p4_Pdc [1/°C],p1_P_el_c [1/°C],p2_P_el_c [1/°C],p3_P_el_c [-],p4_P_el_c [1/°C],p1_EER [-],p2_EER [-],p3_EER [-],p4_EER [-],MAPE_P_el_cooling,MAPE_EER,MAPE_Pdc
Advantix ,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,2.68,35.0,64.0,11,average,2866,4500,1.57,1742.2680412371133,5070.0,1.756924104210583,-0.010647558099236927,1.2845051242704224,-1.7804624516282006,255.1661519545516,0.012686208740017848,-0.05199824717991143,-255.21637602331487,-40.360700548670394,-0.04259409812981608,4.862191860731595,40.50233772895921,22.607657904323784,9.244852117632464,24.897665945929017,70.62772737794765,-0.007264857987780313,0.06876859615928656,-70.5998867750597,70.63887947305736,-0.010769188248214349,-0.7633155544414443,-70.58860643575491,37.39275999294196,0.046170422392113115,6.2953386462353205,-37.48834295489166,13.77345405492828,7.834441017161393,11.652982625459568
Advantix ,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,2.2,35.0,64.0,11,average,2907,5000,1.72,2110.344827586207,6120.0,-141.68907092509116,-0.001532784228552501,0.9238517376116808,141.6751671506068,184.3337497295324,0.012930782592889038,-0.04331819717750912,-184.3835100657077,221.7222378400974,-0.03924282090360258,4.806830957325336,-221.5766261033884,21.795093465284317,7.122293013839793,23.69374234180905,72.85232300338714,-0.005929618297214768,-0.22535793282035624,-72.81631158544306,70.64256192989902,-0.01029529885837644,-1.0088354989763535,-70.58492397891341,53.317793711425246,0.04535909090909684,6.373991362166567,-53.41757571132549,10.624763196440417,6.703914083037818,9.708863667951924
Advantix ,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,3.45,39.0,64.0,11,average,3333,5500,1.65,2430.8681672025727,7560.0,22.307893980027107,-0.007510539406053725,1.230384049236107,-22.31813559136846,134.15341125267253,0.011789640503013869,0.02466310769416513,-134.20101354477742,212.85244110735118,-0.07305183575500124,6.208804527937193,-212.6824836648456,22.456924199240483,8.341952686587971,25.85155346502661,70.62650319897995,-0.007637578795095972,0.15808675746230466,-70.6011109534949,71.19773491007912,-0.009973554285618049,-1.0701167455598697,-71.13873704154464,-38.30595648671883,0.055508909492892895,10.401024530800504,38.096062465611546,12.422344439595273,7.313386580481104,14.604517042325055
Advantix ,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,3.45,39.0,65.0,11,average,3350,6700,2.0,2738.7096774193546,8490.0,-142.60139535042083,0.0011363114986192096,0.8575099556546107,142.59096871480523,-74.40046196708819,0.00859932817868084,0.2020723874281388,74.35292142307492,318.33051990253574,-0.07741797218105538,6.435352458779397,-318.20740836809443,18.080640991992126,8.020944609674329,23.069767079591866,102.52210430468249,-0.0067442392100538024,-0.03977057024670519,-102.49120826818329,79.79291562469949,-0.00967023813203928,-1.1998271517302932,-79.73015154734492,-106.59752516720087,0.05546136361436496,10.417087711898224,106.38696817603294,11.844894274159698,7.3566621704809725,13.72989320037708
Advantix ,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,4.4,40.0,68.0,11,average,5167,9300,1.8,3696.774193548387,11460.0,212.75280653066739,-0.004372185819572828,0.9643942299517776,-212.77496127036446,-71.55895780228809,0.010612240845890769,0.06258251461003557,71.50802186800121,208.4028825098664,-0.05967035934312406,5.518714170781426,-208.24575248607792,12.936314028518682,13.701883417683174,15.020363253655946,70.63503197468319,-0.0048624518449320855,-0.4559753629036555,-70.59258217832421,70.64897787965965,-0.009060078880873521,-1.4644979496207151,-70.57850802915277,-106.59752516720087,0.05546136361436496,10.417087711898224,106.38696817603294,10.626331982362027,7.3566621704809725,11.329404202338074
Advantix ,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,4.6,40.0,68.0,11,average,5515,9100,1.65,4521.6049382716055,14650.0,212.75881474822896,-0.0009010380259240133,0.9104742121163358,-212.76873584584663,236.6242536008729,0.01438047430479626,-0.09972170567581833,-236.67136448111322,-142.51751505202998,-0.04730705028429852,5.150185243976614,142.68065605035025,21.63747262050375,6.8016643347377626,24.41033165506525,70.63551438726971,-0.004678858045620953,-0.4887943067628615,-70.59209976573773,70.648319750949,-0.00914756758411087,-1.4204282606727383,-70.57916615786334,53.86988882403872,0.05721590909091993,9.457655866754813,-54.04618580458183,11.019619198007755,9.025659424315505,11.826084884614547
Airwell Residential,AW-YHPS04-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.55,43.0,61.0,15,average,2655,5310,2.0,,,-289.1141206658209,-0.0017462009713831886,0.7725942543147681,289.0684527116003,-242.15311359553039,0.013105435522133488,-0.04736162570976821,242.1034199964703,-107.26402587952612,-0.11429943183637695,8.189540243525562,107.43174094717727,68.55763051081826,15.92706587341284,74.54295828995869,,,,,,,,,,,,,,,
Airwell Residential,AW-YHPS04-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.55,39.0,61.0,15,average,2029,4260,2.1,,,168.32868441200452,0.006263763066490732,0.47712095156056,-168.35901877375503,229.53319307081262,0.020737781246236715,-0.32336711878666696,-229.56662280806324,-249.15521561841385,-0.10404833382306072,7.756768116476373,249.26268500180282,8.564864079590688,8.558788687286034,12.82047453654372,,,,,,,,,,,,,,,
Airwell Residential,AW-YHPS06-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.55,39.0,62.0,15,average,2474,5170,2.09,,,-43.782641609681775,-0.0018216127250944149,0.776830554003751,43.74112576482934,-128.42106783448352,0.014660143549755946,-0.10547383691380424,128.37574661188646,177.29116033843042,-0.11786655666210202,8.348045485703791,-177.17762644020848,26.965379701697675,13.845316995910116,32.98523474926836,,,,,,,,,,,,,,,
Airwell Residential,AW-YHPS08-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.65,43.0,63.0,14,average,3470,7010,2.02,,,95.02947115241629,-0.006113413101008947,0.9655533616119102,-95.08068930011154,212.76555951825569,0.01119487570657407,0.043450263912839904,-212.8166025595612,205.0617488895245,-0.12826633219036895,8.65807904446922,-204.93715572445728,62.10819085538128,17.860230884404853,69.90161052849865,,,,,,,,,,,,,,,
