Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_ref [W],P_th_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p1_P_el [1/°C],p2_P_el [1/°C],p3_P_el [-],p1_COP [-],p2_COP [-],p3_COP [-]
Advantix ,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,2.68,35.0,64.0,11.0,average,2866.0,4500.0,1.57,-0.023538355593005617,-0.0106475645436453,1.284505386874436,-0.02555642526929812,0.008232033842554384,0.22076825460641566,0.14163714685839135,-0.04259416053306359,4.8621942543196806
Advantix ,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,2.2,35.0,64.0,11.0,average,2907.0,5000.0,1.72,-0.013904040555392615,-0.0015330076001082798,0.9238612781976104,-0.02395362796691104,0.010072447561318507,0.16939985825543338,0.14561100860024606,-0.03924362794603907,4.8068611811176165
Advantix ,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,3.45,39.0,64.0,11.0,average,3333.0,5500.0,1.65,-0.010241640881372359,-0.00751056420402971,1.2303850239619578,-0.024239305795113363,0.009812651043801196,0.1931472525103896,0.16995760340577873,-0.07305189894186788,6.208807414610039
Advantix ,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,3.45,39.0,65.0,11.0,average,3350.0,6700.0,2.0,-0.010427837682316242,0.001135767083594857,0.8575300652551789,-0.02321819931570768,0.011195424401409559,0.18384635694085044,0.12311116617431875,-0.07741840166667187,6.435368475681724
Advantix ,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,4.4,40.0,68.0,11.0,average,5167.0,9300.0,1.8,-0.02215426705494199,-0.0043716783474945795,0.96437551767237,-0.028868541352991755,0.00863583546198203,0.2201158937723038,0.15713051832787067,-0.05966991310390725,5.518696448799263
Advantix ,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,4.6,40.0,68.0,11.0,average,5515.0,9100.0,1.65,-0.009920080645928092,-0.0009008191822355577,0.9104661656108812,-0.02273549810284804,0.01144461849455886,0.10885360590959724,0.16314167537677576,-0.04730672678430349,5.150172869391708
Airwell Residential,PAC BT MB 10KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,67.0,17.0,average,5026.0,9700.0,1.93,-0.03475099371644669,0.006231796212323313,0.4499362564320718,-0.02860047766463452,0.014173102739983703,-0.039953889044477456,0.10380456288843028,-0.054904984726921284,5.534042879878394
Airwell Residential,PAC BT MB 12KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,,17.0,average,5026.0,9700.0,1.93,-0.049821970921092563,-0.006082819005201075,0.9930098840635216,-0.03597805494968753,0.009186122045332258,0.1808973620349993,0.1148683280460124,-0.0941987305401378,7.212292214156132
Airwell Residential,PAC BT MB 14KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,,17.0,average,5707.0,11700.0,2.05,-0.047650008577485616,-0.004784522466336273,0.9124395709980898,-0.03853260509995851,0.007949911263429692,0.237571549896816,0.15338465346247485,-0.10645986715035988,7.718961646174952
Airwell Residential,PAC BT MB 16KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,,17.0,average,6089.0,12300.0,2.02,-0.049652835889472204,-0.006812486520344482,1.0085739058475554,-0.038666113171729986,0.0073995128495646404,0.2656627461015734,0.1284654162368406,-0.09962179671735463,7.367370305330121
Airwell Residential,PAC BT MB 12KW H13,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,70.0,27.0,average,4922.0,9500.0,1.93,-0.04441869695029961,-0.006290127109115803,0.9993201376492724,-0.035009842333625814,0.00916103164831273,0.1826239852245429,0.15002872083711705,-0.11996586576959414,8.238726112899881
Airwell Residential,PAC BT MB 14KW H13,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,73.0,27.0,average,5743.0,11600.0,2.02,-0.04092951186658577,-0.0017980550826174812,0.7923459177405421,-0.03632832870765234,0.009163684997103079,0.18697335323883787,0.16445227441015384,-0.10497979814696896,7.656847600866524
Airwell Residential,PAC BT MB 16KW H13,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,73.0,27.0,average,5879.0,11700.0,1.99,-0.04188029725073476,-0.0038312756865866533,0.893665757539249,-0.03621213297791627,0.008715683306056227,0.21343103718270576,0.16227374695209734,-0.09618142621802546,7.260778410229112
Airwell Residential,PAC BT MB 5KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,2.4,,64.0,16.0,average,2950.0,5900.0,2.0,-0.02092279063168938,0.015549700080545016,0.01964103033200108,-0.018657938391940347,0.02143198928475063,-0.3631167625457534,0.13800044834496888,-0.11949569602896284,8.27591298178821
